Kategori,Pesan
spam,"$l07""g@mpang'm3nan9, 1@n9sun9 $pin
@k$3$""9am3 h0k!""v!@ $!7u$r4j4
11nk""s10t""94c0r h@ri""ini: tinydd.(o/nhuIm9"
spam,"1ink sl07 9@(0r hari""1ni: 7inydd.<0/G28n2T
8uru4n""main""di""5!7us""7er8@ik m4x5107
5i7us ant1 rungk@d, 8uk7i!n $kr9!
hany@ h4r1 1n!,'m4xw!n m3nan71'k@mu"
spam,"1ink""$1o7'ga<0r har1'!ni:'t!nydd.co/D@78lb
m@in 5an7@i, $a1do""n@ik $3ndir1
m0d@l k3c11 (u@n b3s4r, @y0 d@f74r!"
spam,"70p""up h4ri in1 d@p@t""<4shback 50%
3ven7 h@di4h""t07@l""ra7u54n""ju7a!
8uru4n main d! s17u$ t3rb@ik""$!7u$r4j4
73r8ukti 94c0r!""1!nk: 7inydd.<0/x9j315
si7u$""an71'run9k4d,'8uk7i1n'skrg!"
spam,"8uru4n m41n'di""517u$""73r8a1k""5!7u5r@j4
promo""9!1a! d3p0$i7 500 8onu$'1000
main'54n7@1, saldo n@1k'53ndiri"
spam,"<1@im 80nus 74np@""5y@ra7, k1ik 7inydd.c0/p3m$h4
m0dal ke<i1'<u@n'83s4r, ay0 d4f7ar!
l@ng$un9 9@$'m4xwin""8@r3n9""k@m!""di m@n74pb37
1@ng$un9 945 m@xwin b4r3n9 k@mi'di'm4n74p837
d@petin'j@(kpo7""den94n m0da1""re<3h"
spam,"@k$3$ 94m3 hoki""v14 20n@(u4n
(u4n hari@n d@r1 9@m3'p@1!n9""seru
m41n s@nt4!, $a1do n4ik s3nd1ri
(14im""b0nu5 7anp4 $y@r@t, k1ik 7inydd.<o/s9rck1
<uan h@rian d4r1 9@m3 pa1ing s3ru"
spam,ANDA BUTUH DANA CEPAT??? HUBUNGI KAMI 0855-8877-9900 !!! PROSES GAMPANG GA PAKE LAMA!!
spam,AYO MAIN DI JPMAXWIN! Scatter Terus! WD PASTI DIBAYAR LUNAS! >> jp-maxwin-pasti.com/register
nonspam,Acara besok temanya apa ya? Biar bisa siapkan kostum.
nonspam,Acaranya mulai jam berapa?
nonspam,Ada rekomendasi tempat makan enak di dekat sini?
nonspam,"Ada warung sate enak dekat kantor, mau coba?"
nonspam,Ada yang bisa bantu angkat barang ini?
nonspam,Ada yang bisa saya bantu?
nonspam,Ada yang lihat kunci motor saya nggak ya?
nonspam,Ada yang punya rekomendasi film series bagus?
spam,Airdrop Koin $MOON GRATIS! Klaim 1000 Koin ($500) SEKARANG! Terbatas! >> airdrop-crypto-real.io/moon
spam,Akun Anda TERDETEKSI melakukan aktivitas MENCURIGAKAN! SEGERA VERIFIKASI data Anda di sini: update-akun-aman.info
spam,Akun Gojek Anda Ditangguhkan! Pulihkan SEGERA dengan mengisi data di: pulihkan-akun-gojek.co/login
nonspam,"Alamat lengkapnya di mana ya, Bu?"
nonspam,Anak-anak sehat kan di rumah?
spam,Anda Belum Lapor SPT Tahunan! SEGERA Lapor di link ini utk menghindari denda: pajak-resmi-anda.web.id
spam,Anda Diminta Mengganti Password Akun Bank Anda! Klik link ini untuk keamanan: secure-mybank-update.info
spam,Anda Memiliki 1 Pesan Suara Baru! Dengarkan Sekarang di: 101.50.1.2/pesansuara.wav
spam,Anda Mendapat Transfer Dana Rp 2.500.000! Cek Sekarang! 103.45.67.89/cekdana
spam,Anda Mendapat Undangan Interview Kerja! Posisi Manajer! Lihat Detail & Konfirmasi: undangan-interview-palsu.com/lihat.pdf
nonspam,"Apakah barangnya masih ada, Kak?"
nonspam,Apakah formulirnya harus diisi sekarang?
nonspam,Apakah lowongan kerja ini masih tersedia?
nonspam,"Ayo semangat kerjanya, sebentar lagi weekend!"
